property_rights,government_integrity,judicial_effectiveness,tax_burden,government_spending,fiscal_health,business_freedom,labor_freedom,trade_freedom,investment_freedom,financial_freedom
50.0,10.0,28.2,71.3,86.4,61.0,70.0,70.5,51.0,50.0,70.0
30.0,30.0,52.5,46.0,53.7,1.2,55.0,53.6,25.0,50.0,50.0
50.0,50.0,32.3,86.8,96.6,95.3,55.0,53.4,52.4,50.0,50.0
50.0,10.0,42.5,55.8,30.3,77.6,55.0,65.2,66.0,50.0,30.0
50.0,30.0,34.5,65.5,83.4,87.4,55.0,31.6,61.0,50.0,50.0
50.0,50.0,59.7,61.1,63.3,70.0,85.0,58.7,43.0,70.0,50.0
50.0,50.0,29.4,77.5,84.0,86.1,70.0,43.0,64.4,70.0,90.0
50.0,10.0,28.5,81.7,34.3,67.5,70.0,50.4,59.0,70.0,50.0
10.0,10.0,25.3,78.6,95.5,83.6,40.0,62.6,80.0,10.0,10.0
50.0,30.0,39.8,72.4,74.8,14.4,55.0,51.0,61.2,70.0,70.0
30.0,30.0,21.4,33.3,74.6,85.5,70.0,49.7,37.0,30.0,30.0
70.0,90.0,84.0,44.0,0.0,96.1,70.0,54.0,77.0,70.0,50.0
50.0,10.0,22.3,81.8,94.9,47.0,55.0,42.2,61.0,70.0,50.0
90.0,70.0,48.7,97.7,86.9,59.0,100.0,80.0,19.0,30.0,70.0
90.0,70.0,45.3,74.6,92.8,96.4,70.0,73.6,66.4,50.0,50.0
50.0,10.0,33.5,81.1,89.5,94.7,55.0,62.8,51.0,70.0,70.0
50.0,10.0,30.7,50.9,97.2,99.1,55.0,38.4,49.0,30.0,30.0
90.0,90.0,69.2,74.1,69.9,90.8,85.0,49.2,75.2,50.0,50.0
50.0,10.0,45.2,73.1,89.7,89.4,55.0,50.3,45.0,50.0,50.0
50.0,50.0,27.8,49.4,76.0,92.3,70.0,60.1,23.6,70.0,50.0
70.0,90.0,72.7,60.8,15.7,60.8,85.0,51.6,77.8,50.0,50.0
30.0,30.0,37.6,41.0,88.5,85.5,55.0,57.7,27.0,10.0,30.0
90.0,70.0,59.9,63.3,85.6,97.0,70.0,51.1,69.2,50.0,70.0
50.0,30.0,42.9,57.1,72.5,82.4,55.0,75.7,52.6,50.0,50.0
50.0,10.0,37.1,73.2,88.4,97.2,55.0,52.9,42.0,50.0,50.0
90.0,50.0,78.3,49.1,38.7,80.8,85.0,78.2,77.8,70.0,70.0
70.0,50.0,55.9,46.7,38.2,96.2,100.0,77.0,76.0,70.0,90.0
70.0,70.0,52.3,75.0,52.7,17.7,85.0,75.4,73.0,50.0,70.0
50.0,70.0,31.0,64.5,2.2,78.1,70.0,80.2,0.0,50.0,50.0
70.0,50.0,44.3,60.5,73.2,60.6,70.0,31.7,59.0,70.0,50.0
30.0,10.0,35.2,74.2,88.6,16.6,55.0,37.9,75.0,30.0,30.0
50.0,10.0,56.3,38.0,0.0,85.4,70.0,74.9,60.0,50.0,70.0
70.0,90.0,72.7,60.6,8.3,60.8,85.0,51.6,77.8,50.0,50.0
50.0,10.0,33.4,48.8,83.4,84.8,70.0,63.3,65.0,70.0,50.0
50.0,30.0,54.4,60.8,71.5,0.0,70.0,80.0,49.0,70.0,70.0
50.0,30.0,51.7,66.7,74.4,7.7,55.0,57.5,57.0,50.0,50.0
70.0,90.0,84.0,45.2,0.0,96.1,70.0,54.0,77.0,70.0,50.0
90.0,70.0,45.3,74.5,92.1,96.4,70.0,73.6,66.4,50.0,50.0
50.0,10.0,28.2,71.4,89.1,61.0,55.0,70.5,51.0,50.0,70.0
50.0,30.0,41.9,50.6,30.6,94.3,55.0,78.4,71.0,70.0,50.0
70.0,70.0,67.3,76.7,82.7,80.7,85.0,72.3,67.0,50.0,50.0
90.0,90.0,85.0,99.9,47.1,99.0,85.0,78.8,77.0,30.0,50.0
30.0,30.0,58.5,42.4,64.9,90.9,55.0,62.5,61.6,70.0,50.0
50.0,50.0,32.3,84.1,96.6,95.3,55.0,53.4,69.0,50.0,50.0
90.0,90.0,69.2,74.3,70.0,90.8,85.0,49.2,75.2,50.0,50.0
70.0,70.0,54.0,63.5,46.6,98.2,70.0,69.7,46.2,50.0,70.0
90.0,90.0,93.0,62.1,37.3,53.5,85.0,73.5,77.8,70.0,90.0
50.0,10.0,62.8,67.7,50.8,90.0,70.0,60.0,61.0,70.0,50.0
50.0,30.0,44.2,73.4,78.8,28.1,55.0,58.8,64.0,50.0,50.0
90.0,90.0,69.3,33.9,7.3,67.9,70.0,68.4,77.8,70.0,70.0
90.0,90.0,78.0,44.0,27.1,90.8,70.0,44.4,77.8,70.0,70.0
50.0,50.0,38.7,73.1,93.1,69.8,55.0,59.9,63.0,70.0,30.0
50.0,50.0,31.3,72.1,90.5,49.7,70.0,51.9,0.0,50.0,50.0
30.0,30.0,37.6,48.8,88.5,85.5,55.0,57.7,27.0,30.0,30.0
70.0,50.0,28.4,40.0,17.3,3.8,70.0,75.0,65.0,50.0,50.0
50.0,30.0,26.3,75.1,72.1,90.6,70.0,40.9,75.0,50.0,50.0
50.0,50.0,66.8,83.0,66.9,71.1,70.0,73.7,63.0,70.0,70.0
70.0,50.0,48.7,63.3,68.7,50.0,70.0,80.6,27.0,70.0,50.0
30.0,10.0,64.2,92.0,61.3,93.5,55.0,91.1,69.0,50.0,30.0
70.0,30.0,35.3,63.5,68.7,39.7,70.0,69.5,58.0,50.0,50.0
50.0,30.0,42.9,67.4,74.4,82.4,55.0,75.7,59.0,50.0,50.0
70.0,50.0,56.1,58.0,50.5,70.5,70.0,54.4,77.8,70.0,30.0
50.0,50.0,27.8,52.5,75.5,92.3,70.0,60.1,23.6,70.0,50.0
30.0,30.0,17.6,49.8,80.3,77.1,55.0,51.5,55.0,30.0,10.0
50.0,30.0,34.7,77.5,90.6,79.0,55.0,60.1,53.8,50.0,50.0
70.0,90.0,82.0,78.0,53.4,95.9,70.0,77.2,78.0,90.0,70.0
50.0,70.0,43.7,73.8,74.8,9.5,55.0,56.5,31.2,50.0,50.0
50.0,30.0,12.3,89.2,75.3,46.8,55.0,39.4,65.4,70.0,70.0
30.0,10.0,22.6,38.6,73.5,6.9,85.0,55.7,43.0,30.0,10.0
70.0,50.0,82.8,73.2,59.2,99.8,85.0,55.8,74.0,90.0,70.0
90.0,90.0,76.9,64.7,57.8,53.3,85.0,95.4,78.4,70.0,70.0
50.0,30.0,45.1,75.5,66.5,87.7,70.0,59.6,52.0,70.0,50.0
50.0,50.0,59.7,63.6,62.2,70.0,85.0,58.7,56.4,70.0,50.0
90.0,70.0,48.7,97.8,83.6,59.0,100.0,80.0,19.0,50.0,70.0
30.0,10.0,42.9,66.7,84.3,80.4,40.0,53.5,55.0,70.0,30.0
50.0,10.0,45.2,80.0,90.0,89.4,55.0,50.3,73.0,70.0,50.0
50.0,50.0,44.0,69.3,62.6,14.1,55.0,62.9,67.0,50.0,50.0
90.0,90.0,77.8,31.5,0.0,96.7,85.0,92.1,77.8,70.0,70.0
50.0,50.0,38.0,66.4,22.0,84.9,70.0,64.5,75.0,70.0,50.0
90.0,50.0,48.7,64.5,77.5,16.6,70.0,77.1,35.0,90.0,70.0
50.0,10.0,34.3,80.4,99.2,82.2,70.0,77.6,65.0,70.0,70.0
70.0,30.0,37.1,73.2,89.4,97.2,55.0,52.9,47.0,50.0,50.0
90.0,90.0,91.5,80.8,90.7,80.0,100.0,96.9,83.0,90.0,70.0
30.0,30.0,65.4,70.7,94.6,85.9,55.0,62.6,20.0,50.0,50.0
90.0,70.0,53.5,99.9,10.9,99.3,85.0,64.2,77.0,30.0,50.0
50.0,50.0,41.7,69.5,64.3,53.4,85.0,62.7,35.0,70.0,70.0
50.0,10.0,54.3,63.5,88.7,13.2,55.0,62.3,14.0,50.0,30.0
90.0,50.0,63.4,89.8,85.9,91.7,85.0,74.5,65.0,70.0,50.0
70.0,50.0,53.9,45.8,26.8,36.1,70.0,51.8,77.8,70.0,50.0
10.0,10.0,41.4,32.3,90.2,61.2,40.0,57.6,81.0,10.0,10.0
30.0,30.0,55.1,69.3,34.6,66.3,70.0,42.8,59.0,30.0,70.0
50.0,50.0,55.6,82.5,90.5,42.5,70.0,60.1,63.0,70.0,50.0
70.0,30.0,82.0,51.1,27.7,79.0,85.0,64.9,81.0,90.0,50.0
50.0,50.0,56.7,71.9,67.9,79.3,85.0,69.9,68.4,70.0,70.0
10.0,10.0,10.0,47.6,0.0,64.4,40.0,20.0,60.0,10.0,10.0
70.0,90.0,55.4,42.2,0.1,68.2,70.0,53.0,77.8,70.0,50.0
90.0,50.0,78.3,49.1,39.0,80.8,85.0,78.2,77.8,70.0,70.0
50.0,30.0,56.5,77.4,50.5,67.2,55.0,43.4,69.0,50.0,50.0
30.0,10.0,30.7,54.7,97.2,99.1,55.0,38.4,49.0,30.0,30.0
70.0,50.0,56.6,76.2,76.5,79.9,70.0,70.0,65.0,70.0,70.0
70.0,50.0,55.9,47.5,38.2,96.2,100.0,77.0,75.0,70.0,90.0
50.0,30.0,45.8,52.2,86.4,80.8,55.0,56.1,12.6,50.0,50.0
90.0,90.0,73.2,53.6,63.9,49.3,85.0,82.4,82.0,50.0,50.0
90.0,70.0,59.9,64.4,86.4,97.0,70.0,51.1,77.0,50.0,70.0
70.0,30.0,52.6,36.6,62.8,55.5,70.0,74.2,59.2,70.0,70.0
10.0,10.0,36.0,41.5,92.1,91.7,55.0,52.5,45.0,10.0,10.0
10.0,10.0,12.3,10.0,10.2,11.9,55.0,69.8,40.0,10.0,10.0
50.0,30.0,21.4,74.8,87.3,82.5,70.0,47.2,37.6,30.0,30.0
50.0,10.0,29.6,51.3,91.5,65.9,70.0,32.7,61.0,50.0,30.0
10.0,10.0,22.6,33.3,73.0,19.9,40.0,20.0,39.0,10.0,10.0
70.0,30.0,50.2,64.3,30.9,40.2,55.0,48.1,45.0,70.0,10.0
70.0,50.0,40.4,60.7,87.0,58.4,55.0,42.4,45.0,50.0,50.0
50.0,30.0,62.4,76.6,62.4,96.7,70.0,59.0,65.0,50.0,30.0
70.0,30.0,38.5,81.3,89.6,78.1,70.0,87.8,57.8,70.0,50.0
10.0,10.0,25.3,78.6,97.7,83.6,40.0,62.6,65.0,10.0,10.0
90.0,90.0,77.0,46.6,37.1,99.0,85.0,44.1,79.0,70.0,70.0
50.0,50.0,52.5,56.2,61.8,1.2,55.0,53.6,25.0,50.0,50.0
30.0,10.0,17.6,81.8,81.3,89.2,40.0,20.0,50.0,30.0,30.0
50.0,10.0,21.4,49.5,45.8,11.7,70.0,81.8,25.0,50.0,30.0
90.0,70.0,62.7,99.4,46.3,19.7,85.0,74.4,59.0,30.0,50.0
30.0,30.0,29.5,57.7,47.1,75.9,55.0,51.2,66.0,50.0,30.0
50.0,50.0,35.4,83.7,92.0,78.5,70.0,64.5,73.0,70.0,70.0
50.0,30.0,42.5,55.9,37.3,77.6,55.0,65.2,51.0,50.0,50.0
30.0,30.0,21.4,32.9,74.6,85.5,70.0,49.7,37.0,30.0,30.0
50.0,30.0,26.1,58.4,63.7,59.1,55.0,38.8,25.0,30.0,50.0
70.0,50.0,51.8,55.8,0.0,82.4,70.0,67.7,59.0,70.0,70.0
50.0,50.0,58.9,78.0,50.8,95.3,70.0,64.1,55.0,50.0,50.0
50.0,10.0,26.6,98.0,79.9,0.0,70.0,58.7,75.0,50.0,70.0
50.0,30.0,48.3,72.5,78.1,30.4,70.0,61.8,61.0,50.0,70.0
70.0,10.0,52.5,44.3,57.1,93.6,85.0,41.1,75.0,70.0,70.0
90.0,90.0,77.1,64.6,18.3,81.2,85.0,81.8,75.2,50.0,70.0
50.0,30.0,50.9,59.1,38.7,90.5,55.0,63.7,45.0,50.0,30.0
30.0,30.0,23.1,85.4,89.3,90.1,55.0,56.2,55.0,50.0,50.0
30.0,10.0,29.6,51.3,88.0,60.9,55.0,51.5,25.0,50.0,30.0
50.0,30.0,34.5,65.5,82.7,87.4,55.0,31.6,63.0,50.0,50.0
50.0,30.0,22.3,79.0,92.5,47.0,55.0,42.2,61.0,70.0,50.0
90.0,90.0,84.0,91.4,92.0,100.0,100.0,86.7,90.0,90.0,90.0
30.0,10.0,32.6,79.2,92.0,78.7,40.0,62.5,38.0,50.0,50.0
90.0,90.0,82.7,58.4,0.0,81.1,55.0,46.5,77.8,70.0,50.0
10.0,10.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0,10.0
90.0,90.0,83.3,58.9,8.9,97.8,70.0,48.6,69.0,70.0,50.0
90.0,90.0,88.4,65.1,48.6,98.3,85.0,89.6,78.6,70.0,90.0
90.0,90.0,74.1,33.8,6.6,88.2,85.0,61.5,77.8,70.0,90.0
50.0,10.0,13.1,75.2,76.1,17.6,70.0,32.3,65.0,50.0,50.0
30.0,10.0,31.0,46.1,92.0,22.2,55.0,43.5,65.0,30.0,30.0
30.0,10.0,18.7,78.6,68.5,94.8,55.0,63.4,56.0,70.0,50.0
50.0,50.0,46.3,75.8,0.0,67.2,55.0,70.3,69.0,30.0,50.0
90.0,90.0,80.9,45.9,0.0,81.1,70.0,73.6,81.0,70.0,90.0
70.0,70.0,52.3,75.0,49.3,17.7,85.0,75.4,73.0,50.0,30.0
50.0,50.0,35.2,48.8,60.7,19.2,70.0,52.9,54.2,50.0,50.0
30.0,10.0,28.2,49.6,54.8,6.2,55.0,44.8,52.4,30.0,30.0
70.0,70.0,68.9,61.5,31.5,46.0,70.0,41.5,77.8,70.0,50.0
50.0,50.0,34.3,78.6,0.0,80.9,55.0,80.6,45.0,70.0,30.0
50.0,50.0,54.0,81.5,69.3,51.9,70.0,73.4,45.8,50.0,30.0
30.0,10.0,34.7,86.4,91.3,98.5,55.0,45.8,53.2,30.0,30.0
50.0,10.0,28.2,90.1,92.8,96.3,70.0,28.1,69.0,90.0,70.0
50.0,10.0,28.5,81.7,51.0,67.5,70.0,50.4,59.0,70.0,50.0
50.0,50.0,39.8,73.2,74.1,14.4,55.0,51.0,61.2,70.0,70.0
50.0,30.0,33.5,81.0,93.4,94.7,55.0,62.8,55.0,70.0,70.0
60.0,70.0,53.7,99.4,72.5,6.5,100.0,79.1,77.0,50.0,70.0
90.0,70.0,92.9,59.3,53.4,84.6,70.0,85.8,77.0,70.0,90.0
10.0,10.0,36.3,54.8,79.1,27.3,40.0,65.5,44.6,30.0,30.0
70.0,70.0,44.5,80.2,89.4,52.6,85.0,44.9,60.0,70.0,70.0
70.0,30.0,34.1,65.0,66.3,49.2,55.0,47.8,31.0,70.0,70.0
30.0,10.0,25.4,54.6,0.0,58.2,40.0,44.349999999999994,25.0,30.0,30.0
70.0,70.0,56.6,48.0,32.6,81.5,70.0,61.3,57.0,70.0,50.0
50.0,50.0,29.4,77.6,85.2,86.1,70.0,43.0,65.0,70.0,90.0
30.0,10.0,22.2,78.4,75.3,5.4,70.0,57.1,45.0,70.0,30.0
30.0,10.0,36.8,46.3,48.8,95.5,40.0,75.2,55.0,10.0,30.0
50.0,30.0,29.5,61.1,49.1,75.9,55.0,51.2,66.0,50.0,30.0
50.0,30.0,34.7,77.5,92.7,79.0,55.0,60.1,67.8,50.0,50.0
50.0,10.0,28.5,81.5,60.3,67.5,70.0,50.4,59.0,70.0,30.0
90.0,78.0,76.9,64.5,60.0,53.3,85.0,95.4,78.4,70.0,70.0
50.0,50.0,39.8,71.6,69.5,14.4,55.0,51.0,74.0,70.0,70.0
90.0,70.0,62.7,99.4,56.7,19.7,85.0,74.4,59.0,30.0,50.0
50.0,30.0,62.8,68.4,47.8,90.0,70.0,60.0,62.6,70.0,50.0
50.0,50.0,43.7,72.9,70.8,9.5,55.0,56.5,60.0,50.0,50.0
70.0,50.0,40.4,61.0,86.8,58.4,55.0,42.4,37.8,50.0,50.0
70.0,50.0,82.8,71.4,55.5,99.8,85.0,55.8,74.0,90.0,70.0
50.0,30.0,33.5,80.5,92.0,94.7,55.0,62.8,58.6,70.0,70.0
90.0,71.0,84.0,91.8,93.0,100.0,100.0,86.7,90.0,90.0,90.0
50.0,30.0,62.4,75.6,58.0,96.7,70.0,59.0,79.0,70.0,50.0
50.0,10.0,31.0,46.1,89.6,22.2,55.0,43.5,48.4,30.0,30.0
70.0,30.0,38.5,81.0,89.6,78.1,70.0,87.8,57.2,70.0,50.0
30.0,10.0,21.7,43.6,81.5,54.8,55.0,66.65,70.2,30.0,30.0
30.0,30.0,23.1,85.7,89.6,90.1,55.0,56.2,17.0,50.0,50.0
50.0,30.0,34.5,65.4,82.9,87.4,55.0,31.6,63.0,50.0,50.0
90.0,90.0,77.0,45.2,40.6,99.0,85.0,44.1,79.0,70.0,70.0
30.0,30.0,21.4,32.8,86.5,85.5,55.0,49.7,37.0,30.0,30.0
30.0,10.0,17.6,81.8,85.2,89.2,40.0,20.0,50.0,30.0,30.0
50.0,30.0,22.3,78.2,91.0,47.0,55.0,42.2,67.0,70.0,50.0
90.0,70.0,48.7,97.3,87.8,59.0,100.0,80.0,19.0,50.0,70.0
70.0,40.0,56.1,54.0,54.4,70.5,70.0,54.4,77.8,70.0,30.0
10.0,10.0,25.3,78.7,98.7,83.6,40.0,62.6,65.0,30.0,30.0
50.0,50.0,32.3,81.5,97.5,95.3,55.0,53.4,67.0,50.0,70.0
90.0,90.0,93.0,61.7,39.3,53.5,85.0,73.5,77.8,70.0,90.0
70.0,50.0,54.0,75.9,46.6,98.2,70.0,69.7,25.0,50.0,70.0
30.0,10.0,28.2,71.4,90.8,61.0,55.0,70.5,19.0,50.0,70.0
50.0,70.0,31.0,64.5,25.0,78.1,70.0,80.2,0.0,50.0,50.0
50.0,10.0,33.4,49.0,77.8,84.8,70.0,63.3,65.0,70.0,50.0
70.0,89.0,84.0,39.5,0.0,96.1,70.0,54.0,77.0,70.0,70.0
90.0,28.0,45.3,74.2,91.3,96.4,70.0,73.6,66.4,50.0,50.0
90.0,96.0,88.4,64.7,53.9,98.3,85.0,89.6,78.6,70.0,90.0
50.0,50.0,29.4,80.8,87.1,86.1,70.0,43.0,65.0,70.0,90.0
50.0,50.0,35.4,83.6,92.0,78.5,70.0,64.5,75.0,70.0,70.0
30.0,30.0,17.6,50.4,83.9,77.1,55.0,51.5,44.4,50.0,10.0
50.0,27.0,51.7,88.3,80.8,7.7,70.0,57.5,57.0,50.0,50.0
50.0,27.0,13.1,75.0,47.1,17.6,70.0,32.3,65.0,50.0,50.0
50.0,30.0,12.3,89.1,76.1,46.8,55.0,39.4,65.4,70.0,70.0
50.0,30.0,21.4,74.9,88.2,82.5,70.0,47.2,58.0,30.0,30.0
50.0,30.0,42.5,59.8,61.8,77.6,55.0,65.2,49.8,50.0,50.0
50.0,30.0,44.2,71.2,85.9,28.1,55.0,58.8,49.8,50.0,50.0
90.0,71.0,80.9,46.1,1.2,81.1,70.0,73.6,63.6,70.0,90.0
50.0,10.0,42.9,66.5,85.3,80.4,55.0,53.5,55.0,70.0,30.0
50.0,30.0,41.9,48.9,37.3,94.3,55.0,78.4,71.0,50.0,50.0
30.0,10.0,36.8,54.6,61.6,95.5,55.0,75.2,55.0,10.0,30.0
70.0,53.0,67.3,76.6,83.6,80.7,85.0,72.3,55.0,50.0,50.0
90.0,90.0,85.0,99.9,49.1,99.0,85.0,78.8,77.0,30.0,50.0
50.0,10.0,21.4,41.7,61.1,11.7,55.0,81.8,25.0,50.0,30.0
30.0,10.0,18.7,78.3,61.1,94.8,55.0,63.4,56.0,70.0,50.0
50.0,50.0,52.5,55.9,72.3,1.2,55.0,53.6,41.0,50.0,50.0
10.0,10.0,22.6,33.3,61.1,19.9,40.0,20.0,24.0,10.0,10.0
70.0,30.0,50.2,63.6,17.0,40.2,55.0,48.1,45.0,70.0,10.0
50.0,50.0,38.0,66.4,22.0,84.9,70.0,64.5,73.0,50.0,50.0
90.0,50.0,48.7,68.2,79.6,16.6,70.0,77.1,45.0,90.0,70.0
50.0,56.0,59.7,61.3,65.3,70.0,85.0,58.7,55.0,70.0,50.0
50.0,34.0,34.3,77.3,99.3,82.2,70.0,77.6,61.0,70.0,70.0
50.0,50.0,56.7,71.3,67.9,79.3,85.0,69.9,68.4,70.0,70.0
90.0,84.0,78.3,49.9,41.1,80.8,85.0,78.2,77.8,70.0,70.0
50.0,50.0,44.0,69.1,71.0,14.1,55.0,62.9,58.0,50.0,70.0
90.0,86.0,83.3,58.0,12.2,97.8,70.0,48.6,69.0,70.0,50.0
10.0,10.0,12.3,10.0,10.2,11.9,55.0,69.8,40.0,10.0,10.0
10.0,10.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0,10.0
30.0,22.0,65.4,70.4,95.4,85.9,55.0,62.6,30.0,50.0,50.0
90.0,70.0,53.5,99.9,0.8,99.3,85.0,64.2,77.0,30.0,50.0
90.0,93.0,91.5,80.6,94.0,80.0,100.0,96.9,83.0,90.0,70.0
70.0,50.0,55.9,53.7,35.4,96.2,100.0,77.0,76.0,70.0,90.0
50.0,50.0,41.7,68.8,65.7,53.4,85.0,62.7,35.0,70.0,70.0
90.0,79.0,63.4,73.5,86.6,91.7,85.0,74.5,73.0,70.0,50.0
70.0,30.0,82.0,51.7,32.0,79.0,85.0,64.9,81.0,90.0,50.0
70.0,52.0,44.5,80.2,90.0,52.6,85.0,44.9,60.0,70.0,70.0
